symbol,open,close,high,low,volume,changePercent,date,companyName,sector
CDAY,49.58,50.0,50.18,48.97,2963534,0.0044,2019-11-05,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,49.82,50.32,50.34,49.5,1313115,0.0064,2019-11-06,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,50.58,50.03,51.57,49.8,2556624,-0.0058,2019-11-07,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,52.46,55.14,55.62,51.96,2289152,0.1021,2019-11-08,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,54.43,54.0,55.0,53.69,1208002,-0.0207,2019-11-11,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,53.83,55.12,55.16,53.66,1136218,0.0207,2019-11-12,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,53.02,53.65,54.23,52.92,5546091,-0.0267,2019-11-13,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,53.52,55.08,55.46,53.22,4509788,0.0267,2019-11-14,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,55.39,56.54,56.64,54.75,1529649,0.0265,2019-11-15,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,56.32,57.69,58.2,55.68,1908987,0.0203,2019-11-18,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,58.18,58.66,59.0,57.78,1123287,0.0168,2019-11-19,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,58.4,58.93,59.76,58.17,1285833,0.0046,2019-11-20,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,58.76,57.57,59.19,57.47,1048744,-0.0231,2019-11-21,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,57.81,58.37,58.66,57.39,1107863,0.0139,2019-11-22,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,58.86,59.64,59.73,58.585,745479,0.0218,2019-11-25,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,59.9,60.05,60.26,59.33,664325,0.0069,2019-11-26,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,60.31,60.53,60.69,59.88,390101,0.008,2019-11-27,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,60.22,60.36,61.15,60.01,251640,-0.0028,2019-11-29,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,60.39,60.37,60.6,59.06,1067111,0.0002,2019-12-02,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,59.9,61.57,61.73,59.53,1188517,0.0199,2019-12-03,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,62.04,61.59,62.04,61.07,640277,0.0003,2019-12-04,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,61.82,61.94,62.22,61.32,839496,0.0057,2019-12-05,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,62.21,62.47,62.83,61.86,616681,0.0086,2019-12-06,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,62.35,61.75,62.94,61.67,488570,-0.0115,2019-12-09,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,61.47,61.98,62.33,61.47,423773,0.0037,2019-12-10,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,62.16,62.04,62.27,61.375,369270,0.001,2019-12-11,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,61.82,61.57,62.6,61.31,597964,-0.0076,2019-12-12,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,61.47,62.51,62.51,61.32,819844,0.0153,2019-12-13,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,62.84,63.2,63.81,62.34,655234,0.011,2019-12-16,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,63.05,63.17,63.6278,62.51,518300,-0.0005,2019-12-17,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,63.38,64.4,65.06,63.35,672028,0.0195,2019-12-18,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,64.33,65.03,65.29,64.05,566649,0.0098,2019-12-19,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,65.59,65.72,65.85,64.81,1574129,0.0106,2019-12-20,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,65.85,66.47,66.69,65.74,389575,0.0114,2019-12-23,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,66.62,66.73,67.26,65.79,339310,0.0039,2019-12-24,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,66.85,67.83,68.01,66.82,717133,0.0165,2019-12-26,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,68.07,67.85,68.3535,67.0,487955,0.0003,2019-12-27,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,68.01,68.01,68.27,66.44,431442,0.0024,2019-12-30,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,67.56,67.88,68.63,67.25,889297,-0.0019,2019-12-31,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
FB,179.15,175.81,179.84,174.88,17261556,0.0,2019-10-01,Meta Platforms Inc,Information
FB,174.84,174.6,176.53,173.09,16374148,-0.0069,2019-10-02,Meta Platforms Inc,Information
FB,175.57,179.38,179.84,173.63,16789319,0.0274,2019-10-03,Meta Platforms Inc,Information
FB,179.55,180.45,180.98,178.1,10476395,0.006,2019-10-04,Meta Platforms Inc,Information
FB,180.0,179.68,181.18,178.09,9359793,-0.0043,2019-10-07,Meta Platforms Inc,Information
FB,178.26,177.75,180.37,177.72,10084896,-0.0107,2019-10-08,Meta Platforms Inc,Information
FB,179.16,179.85,180.72,177.94,7648874,0.0118,2019-10-09,Meta Platforms Inc,Information
FB,180.32,180.03,181.61,179.17,8980978,0.001,2019-10-10,Meta Platforms Inc,Information
FB,182.15,184.19,186.49,182.14,14998754,0.0231,2019-10-11,Meta Platforms Inc,Information
FB,184.2,183.28,184.62,182.5735,7203665,-0.0049,2019-10-14,Meta Platforms Inc,Information
FB,183.8,188.89,190.38,183.66,15143119,0.0306,2019-10-15,Meta Platforms Inc,Information
FB,188.32,189.55,189.7,186.9002,10560343,0.0035,2019-10-16,Meta Platforms Inc,Information
FB,190.3,190.39,190.84,188.765,9761548,0.0044,2019-10-17,Meta Platforms Inc,Information
FB,190.23,185.85,191.49,183.9239,16882862,-0.0238,2019-10-18,Meta Platforms Inc,Information
FB,187.04,189.76,189.91,186.75,8580744,0.021,2019-10-21,Meta Platforms Inc,Information
